Stock Name,Code,Date,Price,Open,High,Low,Volume,Change%
Ayala Corp Pref B,ACPB2,"Jun 28, 2018",505,500,505,500,0.30K,0.00%
Ayala Corp Pref B,ACPB2,"Jun 27, 2018",505,505,505,505,0.01K,0.50%
Ayala Corp Pref B,ACPB2,"Jun 26, 2018",502.5,502.5,502.5,502.5,0.10K,-1.08%
Ayala Corp Pref B,ACPB2,"Jun 20, 2018",508,508,508,508,2.93K,0.00%
Ayala Corp Pref B,ACPB2,"Jun 18, 2018",508,508,508,508,0.01K,1.60%
Ayala Corp Pref B,ACPB2,"Jun 11, 2018",500,508,508,500,0.52K,-1.57%
Ayala Corp Pref B,ACPB2,"Jun 08, 2018",508,512,512,508,0.11K,-1.36%
Ayala Corp Pref B,ACPB2,"Jun 06, 2018",515,515,515,502,1.02K,0.00%
Ayala Corp Pref B,ACPB2,"Jun 05, 2018",515,502.5,515,502.5,0.15K,0.00%
Ayala Corp Pref B,ACPB2,"Jun 04, 2018",515,515,515,515,16.61K,0.00%
Ayala Corp Pref B,ACPB2,"May 30, 2018",515,515,515,502,0.63K,0.39%
Ayala Corp Pref B,ACPB2,"May 29, 2018",513,513,513,513,0.01K,0.00%
Ayala Corp Pref B,ACPB2,"May 28, 2018",513,503.5,513,503.5,10.41K,0.59%
Ayala Corp Pref B,ACPB2,"May 23, 2018",510,510,510,510,0.02K,0.00%
Ayala Corp Pref B,ACPB2,"May 21, 2018",510,510,510,510,0.02K,0.00%
Ayala Corp Pref B,ACPB2,"May 18, 2018",510,510,510,510,0.05K,1.19%
Ayala Corp Pref B,ACPB2,"May 17, 2018",504,504,504,504,40.00K,0.40%
Ayala Corp Pref B,ACPB2,"May 16, 2018",502,504,504,502,7.45K,-1.57%
Ayala Corp Pref B,ACPB2,"May 15, 2018",510,504,510,504,2.76K,0.00%
Ayala Corp Pref B,ACPB2,"May 11, 2018",510,505,510,504,30.01K,0.00%
Ayala Corp Pref B,ACPB2,"May 09, 2018",510,510,510,510,1.00K,0.99%
Ayala Corp Pref B,ACPB2,"May 08, 2018",505,510,510,505,2.44K,0.20%
Ayala Corp Pref B,ACPB2,"May 04, 2018",504,505,506,504,26.78K,-1.18%
Ayala Corp Pref B,ACPB2,"May 03, 2018",510,510,510,510,0.20K,0.00%
Ayala Corp Pref B,ACPB2,"May 02, 2018",510,515,515,510,0.03K,0.79%
Ayala Corp Pref B,ACPB2,"Apr 30, 2018",506,506,506,506,1.00K,0.50%
Ayala Corp Pref B,ACPB2,"Apr 27, 2018",503.5,503.5,503.5,503.5,2.00K,0.00%
Ayala Corp Pref B,ACPB2,"Apr 26, 2018",503.5,520,520,503.5,3.20K,-3.17%
Ayala Corp Pref B,ACPB2,"Apr 25, 2018",520,503.5,520,503.5,0.03K,-0.57%
Ayala Corp Pref B,ACPB2,"Apr 24, 2018",523,503.5,523,503.5,0.02K,-0.19%
Ayala Corp Pref B,ACPB2,"Apr 23, 2018",524,524,524,524,0.02K,4.17%
